,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
156,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,5,4,9,2014-06-18 13:00:00
157,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,9,2,11,2014-06-18 13:15:00
158,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,10,3,13,2014-06-18 13:30:00
159,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,13:45:00,Inter-peak (10:00-16:00),Northbound,13,45,6,5,11,2014-06-18 13:45:00
160,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,14:00:00,Inter-peak (10:00-16:00),Northbound,14,0,19,2,21,2014-06-18 14:00:00
161,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,14:15:00,Inter-peak (10:00-16:00),Northbound,14,15,12,1,13,2014-06-18 14:15:00
162,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,14:30:00,Inter-peak (10:00-16:00),Northbound,14,30,8,4,12,2014-06-18 14:30:00
163,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,14:45:00,Inter-peak (10:00-16:00),Northbound,14,45,11,1,12,2014-06-18 14:45:00
164,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,15:00:00,Inter-peak (10:00-16:00),Northbound,15,0,10,2,12,2014-06-18 15:00:00
165,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,14,2,16,2014-06-18 15:15:00
166,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,12,3,15,2014-06-18 15:30:00
